Time (s);ωx (rad/s);ωy (rad/s);ωz (rad/s)
5.9445311555;2.1041650472;0.3806148022;-0.0773658791
5.9548336358;2.0440423479;0.3781608145;-0.0871818300
5.9651361162;1.9164349859;0.3781608145;-0.1006787626
5.9754385965;1.7311589123;0.3744798329;-0.1117217073
5.9857410768;1.5004840657;0.3732528391;-0.1190836705
5.9960435572;1.2366803847;0.3671178697;-0.1301266153
6.0063460375;0.9446558448;0.3683448636;-0.1387155724
6.0166485178;0.6428153540;0.3622098943;-0.1448505417
6.0269509982;0.3323859061;0.3585289127;-0.1509855110
6.0372534785;0.0342263969;0.3597559065;-0.1632554497
6.0475559589;-0.2381662411;0.3634368881;-0.1804333638
6.0578584392;-0.4762030509;0.3609829004;-0.1927033024
6.0681609195;-0.6651601061;0.3560749249;-0.2062002350
6.0784633999;-0.8013564251;0.3560749249;-0.2221511552
6.0887658802;-0.8909269773;0.3609829004;-0.2368750816
6.0990683606;-0.9228288178;0.3609829004;-0.2515990080
6.1093708409;-0.9031969159;0.3597559065;-0.2626419527
6.1196733212;-0.8443012104;0.3597559065;-0.2712309098
6.1299758016;-0.7522766705;0.3634368881;-0.2847278423
6.1402782819;-0.6320312718;0.3646638820;-0.2994517687
6.1505807623;-0.5117858730;0.3646638820;-0.3092677196
6.1608832426;-0.3976754435;0.3609829004;-0.3227646521
6.1711857229;-0.2958349528;0.3622098943;-0.3362615846
6.1814882033;-0.2295772840;0.3597559065;-0.3509855110
6.1917906836;-0.1989024374;0.3585289127;-0.3669364313
6.2020931639;-0.2246693086;0.3573019188;-0.3853413393
6.2123956443;-0.2982889405;0.3609829004;-0.3951572902
6.2226981246;-0.4271232963;0.3634368881;-0.4160161859
6.2330006050;-0.6025834190;0.3622098943;-0.4295131184
6.2433030853;-0.8295772840;0.3573019188;-0.4466910325
6.2536055656;-1.0823380202;0.3560749249;-0.4675499282
6.2639080460;-1.3510496767;0.3573019188;-0.4847278423
6.2742105263;-1.6332582656;0.3609829004;-0.5055867380
6.2845130067;-1.8958349528;0.3658908759;-0.5227646521
6.2948154870;-2.1326447687;0.3707988513;-0.5338075969
6.3051179673;-2.3240558116;0.3757068268;-0.5460775356
6.3154204477;-2.4688410877;0.3781608145;-0.5509855110
6.3257229280;-2.5449147074;0.3904307532;-0.5522125049
6.3360254083;-2.5608656276;0.3965657225;-0.5522125049
6.3463278887;-2.5130128669;0.4063816734;-0.5497585172
6.3566303690;-2.4062644006;0.4112896489;-0.5387155724
