Time (s);Bx (µT);By (µT);Bz (µT)
14.7535910405;-1.1819808919;-1939.7849678049;13.3178272060
14.7658959538;-1.1819808919;-1939.7849678049;13.3178272060
14.7782008671;-0.6508590296;-1939.7849678049;13.4575803443
14.7905057803;-0.6508590296;-1940.7109229268;12.8985677910
14.8028106936;-0.4738184088;-1939.1676643902;11.3612832695
14.8151156069;0.4113846950;-1939.7849678049;10.9420238545
14.8274205202;1.2965877989;-1941.1739004878;10.9420238545
14.8397254335;0.7654659366;-1941.1739004878;11.7805426845
14.8520303468;0.4113846950;-1940.8652487805;11.9202958228
14.8643352601;0.5884253158;-1940.4022712195;12.0600489611
14.8766401734;-0.1197371673;-1941.1739004878;10.9420238545
14.8889450867;0.7654659366;-1940.2479453659;13.0383209294
14.9012500000;0.7654659366;-1940.4022712195;11.6407895462
14.9135549133;0.7654659366;-1939.9392936585;9.6842456097
14.9258598266;-0.1197371673;-1940.5565970732;8.2867142264
14.9381647399;-0.2967777881;-1940.8652487805;10.8022707162
14.9504696532;-0.2967777881;-1940.8652487805;10.8022707162
14.9627745665;-0.4738184088;-1939.6306419512;9.8239987480
14.9750794798;-1.0049402711;-1940.0936195122;8.8457267797
14.9873843931;-1.3590215127;-1941.3282263415;9.6842456097
14.9996893064;-1.7131027542;-1941.0195746341;11.3612832695
15.0119942197;-2.0671839958;-1940.5565970732;11.2215301312
15.0242991329;-3.4835089619;-1939.7849678049;12.6190615144
15.0366040462;-3.3064683412;-1938.2417092683;13.3178272060
15.0489089595;-3.3064683412;-1940.0936195122;12.1998020994
